kind,trial,gamma,spec_radius,ps_margin_eps0.005,ps_margin_eps0.01,ps_margin_eps0.02,ps_margin_eps0.05,ps_margin_eps0.1
omega=0.0,0,0.16646191870781382,0.9993332121241786,0.0,0.006441498874590779,0.01731442300284247,0.04993321492850977,0.0937494968494873
omega=0.0,1,0.14748749355271867,0.9999352142541587,0.0,0.006305488464557252,0.017183450194728556,0.049930073991606205,0.0939785090314178
omega=0.0,2,0.2597160875234354,0.9996199660323637,0.0,0.0063767125313396456,0.01725203623920435,0.04987802690802545,0.09402847145105775
omega=0.5,0,0.14290400081878207,0.99980656997325,0.0,0.006334553081646432,0.017211438306197535,0.04995482142936736,0.0939988973448248
omega=0.5,1,0.2481652890645468,0.9993782033393962,0.0,0.006431334004194489,0.01730463462252907,0.0499245560191236,0.09406678744551622
omega=0.5,2,0.23168956538368563,0.9991897628078401,0.0,0.00647390839502715,0.017345632127938382,0.04996082286542891,0.09409665262559952
omega=1.0,0,0.2031454020933092,0.9988943694610026,0.0,0.006540646647640536,0.017409898505425625,0.03948979867547542,0.0938191568252651
omega=1.0,1,0.15975564129928957,0.9993406584981557,0.0,0.006439816514467234,0.017312802954570605,0.04993178181590752,0.09407273777602954
omega=1.0,2,0.2079845575272835,0.9993313803172824,0.0,0.006441912734932331,0.017314821534477054,0.049933567473997686,0.09407420823750778
omega=2.0,0,0.19868063990756593,0.999000368762674,0.0,0.006516698213298366,0.017386837081708406,0.049997273222846306,0.09412666892421029
omega=2.0,1,0.16616037285858193,0.9993767252006464,0.0,0.006431667960250853,0.017304956209402866,0.04992484049842527,0.09406702170976688
omega=2.0,2,0.18024909325316965,0.9990544823075351,0.0,0.00650447233392315,0.01737506402880018,0.049986858650151955,0.09411809268666271
