kind,method,trial,data_seed,spurious_ref_count,spurious_residual_count,spectral_gap,rank
N/A,PCR,0,10000,2,3,0.993555397781694,3
N/A,PCR,1,10001,2,3,0.9914369713525168,3
N/A,PCR,2,10002,2,3,0.9884613234156767,3
N/A,PCR,3,10003,2,3,0.9911417109661793,3
N/A,PCR,4,10004,2,3,0.9933831896992902,3
N/A,Reduced Rank,0,10000,2,0,0.9938480716990968,3
N/A,Reduced Rank,1,10001,2,2,0.9915132883772243,3
N/A,Reduced Rank,2,10002,2,3,0.9885045834803761,3
N/A,Reduced Rank,3,10003,2,2,0.9911609762915446,3
N/A,Reduced Rank,4,10004,2,1,0.9934022202205699,3
